id,x[m],y[m],z[m],t[s]
1,0.43,1.07,0.4,0
1,0,0.65,0.4,2
1,0,0.21,0.4,4
1,0,-0.22,0.4,6
1,0,-0.65,0.4,8
1,0.43,-1.07,0.4,10
1,0.43,-1.07,0.4,12
1,0.43,-1.07,0.4,14
1,0.43,-1.07,0.4,16
1,0.43,-1.07,0.4,18
1,0.43,-1.07,0.4,20
1,0.43,-1.07,0.4,22
1,0.43,-1.07,0.4,24
1,0.43,-1.07,0.4,26
1,0.43,-1.07,0.4,28
2,-0.43,-1.07,0.4,0
2,0,-0.65,0.4,2
2,0,-0.22,0.4,4
2,0,-0.65,0.4,6
2,-0.43,-1.07,0.4,8
2,0,-0.65,0.4,10
2,0,-0.22,0.4,12
2,0,0.21,0.4,14
2,0,0.65,0.4,16
2,-0.43,1.07,0.4,18
2,-0.43,1.07,0.4,20
2,-0.43,1.07,0.4,22
2,-0.43,1.07,0.4,24
2,-0.43,1.07,0.4,26
2,-0.43,1.07,0.4,28
3,0,-1.07,0.4,0
3,-0.43,-1.07,0.4,2
3,0,-0.65,0.4,4
3,0,-1.07,0.4,6
3,0.43,-1.07,0.4,8
3,0,-1.07,0.4,10
3,0,-1.07,0.4,12
3,0,-0.65,0.4,14
3,0,-0.22,0.4,16
3,0,0.21,0.4,18
3,0,0.65,0.4,20
3,0,1.07,0.4,22
3,0,1.07,0.4,24
3,0,1.07,0.4,26
3,0,1.07,0.4,28
4,0,-0.65,0.4,0
4,0,-1.07,0.4,2
4,0,-1.07,0.4,4
4,-0.43,-1.07,0.4,6
4,0,-1.07,0.4,8
4,-0.43,-1.07,0.4,10
4,0,-0.65,0.4,12
4,0,-0.22,0.4,14
4,0,0.21,0.4,16
4,0,0.65,0.4,18
4,0.43,1.07,0.4,20
4,0.43,1.07,0.4,22
4,0.43,1.07,0.4,24
4,0.43,1.07,0.4,26
4,0.43,1.07,0.4,28
